name;lat;lon
Obstbau - ohne Pflege geht's nicht Kayh;48.5791523; 8.9330126
Karl-Kühnle-Weg Kuppingen;48.5981795; 8.8026109
Gültsteiner Straße Tailfingen;48.5532687; 8.8813412
Haslacher Steig Öschelbronn;48.5601547; 8.8285834
Betteleiche Reusten;48.5527009; 8.9408752
Schömberg Tennental;48.6412161; 8.8324743
Kayher Sträßle Breitenholz;48.5808524; 8.9561476
Krokusstraße Affstätt;48.603586; 8.8548825
Wasserhäuschen Kuppingen;48.62133645; 8.823316881606765
Nufringer Weg Tennental;48.6408965; 8.8464367
Königsträßle Kuppingen;48.5964895; 8.8074257
Seestraße Herrenberg (Stadt);48.597979; 8.8697982
Wiesbruchweg Breitenholz;48.5726517; 8.9611224
Gültsteiner Straße Gültstein;48.5595814; 8.8799246
Gas-Druckregelanlage Altingen Altingen;48.55866695; 8.92459108097015
Tübinger Straße Gültstein;48.586468; 8.8851548
Farbtex Gültstein;48.5819282; 8.889666600428846
Nebringen Aussiedler Tailfinger Straße Nebringen;48.558450449999995; 8.860027453428572
Zeppelineiche Mönchberg;48.583258; 8.9263442
Steighau Hütte Breitenholz;48.58094395; 8.9544221
Sindlinger Weg Kuppingen;48.6022917; 8.8240092
Der Schönbuchturm - Aussicht und Erlebnis Herrenberg (Stadt);48.6027715; 8.9046621
Bodenseeautobahn Gültstein;48.5913957; 8.8973855
Fuhrweg Kuppingen;48.609625; 8.8058126
Urschelrainstraße Herrenberg (Stadt);48.5952253; 8.9374889
Rohrbrunnen Breitenholz;48.587144; 8.96209
Junge Bäume - Alte Bäume Herrenberg (Stadt);48.5921724; 8.8935057
Bebenhäuser Straße Herrenberg (Stadt);48.6001607; 8.9178245
Calwer Straße Oberjesingen;48.6330362; 8.8285372
Mittleres Häusle Herrenberg (Stadt);48.5987096; 8.9363188
Lehrbienenstand Bezirksbienenzüchterverein Herrenberg e.V. Herrenberg (Stadt);48.60190195; 8.896825686318243
Ruthardskreuz Herrenberg (Stadt);48.6014593; 8.9440152
Aussiedlerhöfe Haslach;48.5910044; 8.8292002
Oberjesinger Weg Oberjesingen;48.6307606; 8.8579341
Burghaldenweg Herrenberg (Stadt);48.616841; 8.8099313
Apfel- und Birnenvielfalt Mönchberg;48.5855903; 8.9120347
Gockelersklingenweg Herrenberg (Stadt);48.6017919; 8.9602208
Wiedmaierweg Kuppingen;48.5931533; 8.8102273
Köhlereiche Mönchberg;48.5889693; 8.9096474
Bodenseeautobahn Altingen;48.5603223; 8.8927939
Gültlinger Weg Kuppingen;48.6173639; 8.8236456
Große Linde Breitenholz;48.5880925; 8.9642979
Öfelepass Unterjettingen;48.5770421; 8.8077616
Gültlinger Weg Kuppingen;48.6173639; 8.8236456
Kochmühle Kochmühle;48.5738196; 8.867327381189455
Wasserhäuschen Kuppingen;48.62133645; 8.823316881606765
Parkdeck Herrenberg (Stadt);48.609430149999994; 8.8808046649601
Jägergartenweg Breitenholz;48.5804111; 8.9426848
Alter Stelleweg Herrenberg (Stadt);48.5954296; 8.9548094
Schulmeister Allee Herrenberg (Stadt);48.5921775; 8.8150734
Reute Breitenholz;48.5718927; 8.9634289
Häring Haslach;48.5843631; 8.82725
Nebringer Weg Haslach;48.5763559; 8.840267
Öfele Unterjettingen;48.5788466; 8.8012738
Bodenseeautobahn Altingen;48.5542117; 8.8894923
Gültsteiner Straße Gültstein;48.5595814; 8.8799246
Kuppinger Straße Kuppingen;48.609626; 8.8525839
Gültsteiner Straße Gültstein;48.5595814; 8.8799246
Bodenseeautobahn Gültstein;48.597959; 8.8963582
Kayertalwiesen Kayh;48.589152; 8.9532942
Jettinger Straße Öschelbronn;48.5557313; 8.813494
Dunkelhauweg Herrenberg (Stadt);48.6088905; 8.911052
Urschelrainstraße Herrenberg (Stadt);48.59756; 8.9171727
Bodenseeautobahn Gültstein;48.5735353; 8.8998834
Gas-Druckregelanlage Altingen Altingen;48.55866695; 8.92459108097015
Frau Fichteweg Unterjettingen;48.5846447; 8.8051988
Jägerweg Gärtringen-Rohrau;48.617572; 8.92019
Grenzstein 043 Herrenberg (Stadt);48.599784; 8.898654
Schuppengebiet Rohrau Gärtringen-Rohrau;48.63141265; 8.923174320806101
Der Kanonenbuckel Herrenberg (Stadt);48.5977218; 8.874396
Im Marxle Altingen;48.5661796; 8.9084811
Daimlerstraße Herrenberg (Stadt);48.6045603; 8.8725423
Friedrichsquelle Rohrau;48.6297859; 8.9269827
Sportgaststätte Rosengarten Nebringen;48.5668941; 8.827914533956527
Kayher Straße Altingen;48.5652181; 8.9093032
Appenhaldenweg Mönchberg;48.5832729; 8.9099071
Abbund Zentrum Schönbuch GmbH Sägmühle;48.56800835; 8.893447613623735
Plapphalde Haslach;48.5878634; 8.8480009
Ehemaliger Trimm-Dich-Pfad Nebringen;48.5700173; 8.8398642
Streitweg Herrenberg (Stadt);48.6056349; 8.9221026
Am Joachimsberg Herrenberg (Stadt);48.599375; 8.8734543
Schinderwasenweg Kuppingen;48.5969568; 8.8230861
Kirchplatz Gärtringen-Rohrau;48.6256449; 8.9229726
Unterer breiter Weg Kuppingen;48.6034055; 8.8032325
Sindlinger Weg Unterjettingen;48.5841932; 8.8111213
Herrenberger Arboretum Haslach;48.590269500000005; 8.82054079815076
Sindlinger Weg Haslach;48.58675; 8.8107938
Zeppelinstraße Herrenberg (Stadt);48.5997064; 8.862281
Gültsteiner Straße Gültstein;48.5595814; 8.8799246
Kayher Straße Altingen;48.5678076; 8.9119522
Weingartenstraße Mönchberg;48.5849122; 8.917487
Tailfinger Straße Altingen;48.5559646; 8.9004512
Hewlett-Packard-Straße Gültstein;48.5808763; 8.8890098
Haldenweg Kayh;48.5711923; 8.9313783
Gültstein Kläranlage Sägmühle;48.56454895; 8.899226605124639
Tübinger Straße Herrenberg (Stadt);48.5942316; 8.8736398
Hailfinger Straße Tailfingen;48.5504142; 8.8797554
Gültsteiner Straße Gültstein;48.5595814; 8.8799246
Tailfinger Straße Gültstein;48.5722473; 8.8772453
Urschelrainstraße Herrenberg (Stadt);48.5952253; 8.9374889
Herdweg Öschelbronn;48.5550525; 8.8032321
Grenzstein 055 Reusten;48.5555859; 8.9379034
1 Hofkammerwald Unterjettingen;48.5808703; 8.8124322
Heselweg Oberjettingen;48.5878623; 8.8061666
Schömberg Tennental;48.6412161; 8.8324743
Öfelepass Unterjettingen;48.5770421; 8.8077616
Kuppinger Straße Oberjesingen;48.6390745; 8.8252339
Aspenweg Öschelbronn;48.5568724; 8.8100203
Öfelepass Unterjettingen;48.5770421; 8.8077616
Seestraße Herrenberg (Stadt);48.6002121; 8.8724661
Jugendbegnungsstätte (JUBS) Nebringen;48.5562568; 8.842508717664906
Neue Steige Breitenholz;48.583894; 8.9463279
Brünnelesweg Sindlingen;48.5722721; 8.8105845
Geschichte der Gartenbauvereine Herrenberg Oberjesingen;48.6269349; 8.8190275
Wanderkarte Mönchberg;48.5867562; 8.9212633
Otto-Weik-Straße Herrenberg (Stadt);48.5987757; 8.9645177
Pflege mit Biss Oberjesingen;48.6290036; 8.8219373
Sindlinger Straße Haslach;48.5792599; 8.8311981
Sindlinger Steig Öschelbronn;48.5598209; 8.8163791
Kayher Talsträßle Mönchberg;48.5898575; 8.9297378
Grenzstein 044 Herrenberg (Stadt);48.599651; 8.899634
Heerstraße Gültstein;48.5814027; 8.8840382
Nebringer Steige Gültstein;48.5692408; 8.8725603
Streuobsterlebnis Herrenberg Oberjesingen;48.6257387; 8.8249424
Plapphalde Haslach;48.5846505; 8.8494072
Grenzstein 055 Reusten;48.5555859; 8.9379034
Gartenanlage Schafhausfeld Herrenberg (Stadt);48.587411200000005; 8.869510661483336
Jägerweg Gärtringen-Rohrau;48.617572; 8.92019
Binder International Kuppingen;48.6136748; 8.85068970394191
Heckental Nebringen;48.56043515; 8.861510195128453
MT Reifenservice Nebringen;48.5589873; 8.8524815
Öfele Unterjettingen;48.5788466; 8.8012738
Herrenberg Kreiskrankenhaus (B28) Herrenberg (Stadt);48.5920188; 8.8769826
Franziska-von-Hohenheim-Straße Unterjettingen;48.5683749; 8.8001934
Haslacher Weg Nebringen;48.5703511; 8.8444866
nordwestlich Bolzplatz Breitenholz;48.5697289; 8.962049
Haldenweg Altingen;48.5671478; 8.9238659
Ditterle Baustoffe Sägmühle;48.5673076; 8.89466449366258
500er Weg Kayh;48.585501; 8.9475155
Tailfinger Straße Altingen;48.5539641; 8.8944841
Ruthardskreuz Herrenberg (Stadt);48.6014593; 8.9440152
Obsthalle Mönchberg;48.5804186; 8.906549322155875
Parkplatz Schützenhaus Klingelberg;48.6136669; 8.797661
Lindenhäusle (Selbstbedienungs-Hofladen) Sindlingen;48.5686485; 8.7993606
Der Mönchberger Zwetschgen-Versuchsgarten Gültstein;48.5864637; 8.9022037
Wechselweg Oberjesingen;48.6214802; 8.8010865
Tafel 11: Ammertal-Blick Unterjettingen;48.5692183; 8.8042944
Leinenbrunnen Kuppingen;48.6063406; 8.8504314
Wasserhäuschen Kuppingen;48.62133645; 8.823316881606765
Panorama-Ansicht Schwäbische Alb Kuppingen;48.6019279; 8.8436991
Nebringer Steige Gültstein;48.5692408; 8.8725603
Dr. A. Maisch GmbH Entringen;48.55847105; 8.958426853122326
Wasserhäuslesweg Haslach;48.5900661; 8.8236687
Schönbuchturm Herrenberg (Stadt);48.6039231; 8.909352661789013
Bronnhaldenweg Oberjesingen;48.6281422; 8.7970823
